id,artist,album,decade,sales_total,sales_us,description,author
25-the-beatles-sgt-pepper-s-lonely-hearts-club-band,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,60s,1800000,1100000,decade defined sweeping cultural paradigm shifts beatles music helped world youths make sense changing times around .fab four golden years took place approximately 1965 1969 transformed continually progressed grandest scales .could said rolling stones purest rockers beach boys innovative group dylan lyrical visionary band defined generation like beatles .record however quite encapsulates beatles represented way sgt .pepper lonely hearts club band .,Max Blau
24-pink-floyd-the-wall,Pink Floyd,The Wall,70s,1800000,1100000,legacy pink floyd cemented dark side moon . wall greatest concept albums time .tells pink troubled young raised overprotective mother trying break wall mind constructed authoritative figures life .painful story relate least comprehend many suffered similar pains life comes story real person .lead singer bassist founding member band roger waters wrote album based experiences life .themes present throughout album stitch story together making cohesive 26 track album .tour followed album release took new heights turning rock opera .psychedelic music pink floyd heavily influenced present throughout entire album .pink floyd wall changed genre music music .,Clint Alwahab
23-michael-jackson-bad,Michael Jackson,Bad,80s,1900000,1000000,bizarre consider album five consecutive number singles would go reach diamond album status u.s. 10 million copies sold could ever commercial disappointment .high expectations michael jackson finally followed thriller five years .,Josh Jackson
22-celine-dion-let-s-talk-about-love,Celine Dion,Let’s Talk About Love,90s,1900000,1000000,nothing small subtle let talk love celine dion vocals ambitiousness collaborations .barbra streisand luciano pavarotti bee gees diane king perform various tracks .carole king corey hart bryan adams wrote songs album .fewer six grammy winning producers involved including legendary george martin .album included love theme titanic whose soundtrack barely missed making list 100 000 fewer copies sold sgt .pepper . love hate let talk love made celine dion global phenomenon .,Josh Jackson
21-madonna-the-immaculate-collection,Madonna,The Immaculate Collection,90s,1900000,1000000,enough pack madonna cleverly titled greatest hits collection new remixes best pop songs 1980s material girl crazy like virgin open heart lucky star holiday groove eight hit singles madonna tacked two new originals would crack top 10 billboard hot 100. trip hop justify love controversial video would even become singer songwriter ninth number hit .collection fans waiting cementing title best selling female recording artist time .,Josh Jackson
20-bruce-springsteen-born-in-the-u-s-a-,Bruce Springsteen,Born in the U.S.A.,80s,1900000,1500000,springsteen finest moment .strongest pop hooks mature lyrics complete vision .long last reconciled romanticism 1973 77 work darkness 1978 82 work .long last mastered recording studio make aid vision rather obstacle allowing finally powerful studio always stage .long last recognized comedy could revealing human nature drama allowed funny songs stand side side serious ones .long last resolved ambivalence pop stardom went catchiest choruses biggest guitar riffs evangelical vocals could muster .,Geoffrey Himes
19-santana-supernatural,Santana,Supernatural,90s,2000000,1500000,1999 carlos santana already legend .band first number album since santana iii 28 years earlier .pretty safe call comeback .,Josh Jackson
18-metallica-metallica,Metallica,Metallica,90s,2100000,1600000,metallica band decade released self titled fifth album black album 1991. intense argumentative recording process producer bob rock occurred three fourths band going divorce proceedings .enter sandman unforgiven nothing else matters wherever may roam sad true remain band recognizable tracks time .,Josh Jackson
17-meat-loaf-bat-out-of-hell,Meat Loaf,Bat Out of Hell,70s,2100000,1400000,story marvin lee aday better known meat loaf well documented thanks part often aired vh1 theatrical film called hell back . leaving abusive life overweight misunderstood teen dallas texas embrace loving counterculture west coast laid path meat loaf follow singer performer actor .,Paste Staff
16-bee-gees-various-artists-saturday-night-fever,Bee Gees Various Artists,Saturday Night Fever,90s,2100000,1600000,film introduce world smoldering screen presence john travolta cemented bee gees place pop culture history .,Robert Ham
15-guns-n-roses-appetite-for-destruction,Guns N Roses,Appetite for Destruction,80s,2100000,1800000,guns roses embodied coveted spot words hair certainly metal rocked comprise infamous 80s genre .appetite destruction remained rootsy even heaviness giving album air musical authenticity unmatched band contemporaries .,Hilary Saunders
14-bob-marley-the-wailers-legend,Bob Marley The Wailers,Legend,80s,2200000,1500000,bob marley populist hero ever songs like get stand simple unaffected refrain spoke generalities need assert oneself tyranny oppression .facets reggae famous artist display legend pretty sure purchased every college freshman decades came 1984 .,Paste Staff
13-abba-gold-greatest-hits,ABBA,Gold: Greatest Hits,90s,2200000,600000,abba greatest hits compilation sold copies record u.k. besides queen greatest hits swedish pop group always phenomenon europe u.s. even surprise success mamma . 18 track album contains everything expect dancing queen knowing knowing chance closing track waterloo .pop perfection melody melody humming days .,Josh Jackson
